         year    sex education vocabulary
19821320 1982   Male         8          3
19870336 1987 Female        18          7
19942777 1994   Male        12          5
20002625 2000   Male        14          8
19900359 1990 Female         8          6
20141850 2014 Female        14          5
19780615 1978   Male        12          6
19741176 1974   Male        17          9
19941502 1994 Female        12          3
19961967 1996 Female        15          5
20162228 2016   Male        12          6
20000711 2000 Female         9          2
20141373 2014 Female        16         10
19941843 1994   Male        15          7
19761357 1976   Male         5          3
20161053 2016   Male        15         10
19901200 1990   Male        18          7
20121120 2012   Male        14          7
20120272 2012 Female        14          6
19871297 1987 Female        12          3
19781044 1978 Female        15          4
19870342 1987   Male        15          6
19740171 1974   Male        13          5
20081792 2008 Female        13          6
19820804 1982 Female        12          5
20100825 2010 Female        11          2
19820559 1982   Male        10          5
20062538 2006   Male         6          1
19942167 1994 Female        12          7
19870544 1987 Female        12          5
19890013 1989   Male        12          5
20040939 2004   Male        15         10
19962538 1996 Female         4          3
19931442 1993   Male         8          5
19881174 1988 Female         9          8
20142392 2014 Female        16          8
20000109 2000   Male        16          6
20161879 2016 Female        12          6
19890652 1989 Female        16          7
19941881 1994 Female        12          7
20120521 2012 Female        12          8
19820123 1982 Female        12          4
19840718 1984 Female         7          4
19820444 1982   Male        16         10
19980950 1998 Female        16          5
19941349 1994   Male        16          6
19821214 1982 Female        15          6
19910111 1991   Male        13          5
19962126 1996 Female        18         10
19872244 1987   Male        12          7
19940379 1994   Male        17          4
20141100 2014   Male        12          2
20161665 2016   Male        16          8
19942919 1994   Male        12          5
19930197 1993 Female        12          9
20121545 2012 Female         2          0
20120414 2012 Female        16         10
19820449 1982 Female        19         10
20061357 2006   Male        16          9
19901240 1990 Female        12          6
19960945 1996   Male        18          7
19761204 1976 Female         8          6
19780550 1978 Female        16          9
20140425 2014   Male        20          9
20120301 2012 Female        11          4
19820447 1982   Male        14          5
19942745 1994 Female        12          4
20140644 2014 Female         8          3
19880643 1988 Female        12          5
19820375 1982 Female        16         10
20141527 2014 Female        13          8
19931089 1993 Female        12          8
19840407 1984 Female        12          7
19740061 1974   Male        12          6
19981224 1998 Female        14          6
19901210 1990 Female        11          5
20121238 2012   Male        12          4
19941512 1994 Female        12          5
20042147 2004   Male        10          5
19740821 1974   Male        12          6
19900135 1990 Female        12          8
19900456 1990   Male         6          3
19881216 1988 Female        14          6
19890965 1989   Male        12          6
19982443 1998 Female        20          9
19740989 1974 Female        12          5
20040349 2004 Female        14          6
20081502 2008   Male        12          4
19941573 1994   Male        16          4
19780425 1978   Male        12          6
20121500 2012 Female        12          8
19910345 1991   Male        16          9
19931601 1993   Male        17          6
20041351 2004 Female        12          6
19841061 1984 Female        15          6
19871372 1987   Male        16          7
20040813 2004   Male        16          5
20063048 2006 Female        10          7
19740413 1974 Female         5          2
19960658 1996   Male        17          7
20000451 2000   Male        14          5
20140679 2014   Male        16          5
20040003 2004   Male        14          9
19841413 1984 Female        12          4
19910235 1991   Male        14          4
19780740 1978 Female        12          5
19781011 1978   Male        14          6
19982495 1998 Female        13          5
19890126 1989 Female        16          9
19910772 1991   Male         8          3
20141018 2014 Female        14          5
19900321 1990 Female        14          5
19840638 1984 Female         9          5
20002803 2000 Female        12          4
20161392 2016 Female        14          8
20002540 2000   Male        11          6
20080249 2008 Female        13          7
19941552 1994   Male         8          5
19872183 1987 Female        11          4
20042704 2004 Female        14          6
19872066 1987 Female        13          5
20063270 2006 Female        17          9
19780407 1978 Female         4          3
20080534 2008   Male        13          3
19940799 1994 Female        16          9
20100272 2010 Female        16          5
20061784 2006 Female        12          5
20121263 2012 Female        12          6
19870692 1987 Female        12          1
20162143 2016   Male        14          2
19870493 1987 Female        12          2
19880820 1988   Male        12          5
20101578 2010   Male        14          5
19780337 1978   Male        12          5
19901159 1990 Female        10          2
19901346 1990   Male        12          7
19911388 1991 Female        11          5
19820854 1982 Female        15          9
19870303 1987   Male        12          6
20000834 2000 Female        14          4
20081457 2008 Female        12          4
19910664 1991 Female        12          7
19820340 1982   Male        12          6
19871011 1987 Female        12          5
20080719 2008   Male        16          5
19820464 1982   Male        12          4
20080092 2008 Female        12          7
19942312 1994 Female        11          7
19880326 1988   Male         8          5
19870585 1987 Female         8          0
20080701 2008 Female        16          9
19780160 1978   Male        18          6
20100452 2010 Female         9          3
19761170 1976 Female        11          6
20162308 2016 Female        11          5
20101592 2010 Female        14          5
20160129 2016 Female        16          7
19841260 1984   Male         4          6
19740741 1974   Male        12          6
19840455 1984 Female        14         10
19780706 1978   Male        12          5
19900355 1990 Female        11          8
19761323 1976 Female        12         10
19870819 1987   Male        12          7
19961286 1996 Female        18          8
19880732 1988   Male         8          4
20141120 2014 Female        16          7
19891513 1989   Male        15          7
20141541 2014 Female        10          2
19870521 1987   Male        13          4
20161802 2016   Male        16          9
19781157 1978 Female        12          5
20081110 2008   Male        12          6
20062091 2006 Female        12          5
19930103 1993   Male        16          8
19930763 1993   Male        12          1
20002066 2000   Male        12          2
19761020 1976 Female        12          5
19982795 1998 Female        18         10
20080057 2008   Male        16          7
19840460 1984   Male        12          3
19741224 1974 Female        12          5
20162472 2016   Male        16          6
19881452 1988   Male        14          4
19930274 1993 Female         9          5
19900411 1990 Female        14          8
20121895 2012   Male        14          7
19820750 1982   Male        18          7
19820010 1982   Male        14          7
19980684 1998   Male        16          6
19740512 1974   Male        13          9
19760510 1976   Male        12          5
20162138 2016 Female        12          5
20140725 2014   Male        18          6
19823203 1982 Female        20          8
19982573 1998   Male        12          7
19880858 1988 Female        12          6
20141591 2014 Female        16          7
20081432 2008 Female        14          6
20042744 2004   Male        18          9
19840437 1984 Female        14          5
19741367 1974   Male         8          6
20162713 2016 Female        12          7
20042785 2004   Male        14          6
20140613 2014   Male        13          5
20001580 2000   Male        15          9
20040462 2004   Male        19          9
20100797 2010 Female        17         10
20040748 2004   Male        15          8
20101272 2010   Male        16          8
19930223 1993   Male        17         10
20001783 2000 Female        12          8
19780873 1978 Female        14          5
20042510 2004   Male        13          6
20161464 2016 Female        11          6
19870746 1987   Male        15          9
19910181 1991 Female        14          6
20141039 2014 Female        12          9
20142524 2014 Female        15          5
19741161 1974   Male        16          9
19962206 1996   Male        17          7
19740896 1974   Male        10          7
19961180 1996 Female        12          7
19761736 1976   Male         9          4
19981745 1998 Female        12          5
20081460 2008 Female        18          9
19890237 1989   Male        17          5
19781058 1978 Female        12          6
19761214 1976 Female        10          9
19890252 1989 Female         8          1
20160798 2016 Female        16          7
19942662 1994   Male        14          6
19881045 1988 Female        12          5
19880006 1988 Female        17          5
19900206 1990 Female        15          5
19740550 1974   Male        12          3
19741091 1974   Male         7          6
20120032 2012 Female        14          6
19901084 1990 Female        14          6
19931293 1993   Male        18          6
19901095 1990   Male        12          5
20040453 2004   Male        14          7
19900940 1990 Female        12          6
19941212 1994   Male        14          5
19741104 1974 Female        16         10
19871272 1987   Male        12          6
20141848 2014 Female        18          5
20140621 2014 Female        12          7
20141772 2014   Male        14          8
20161088 2016   Male        13          5
20061123 2006   Male        15          9
19760502 1976 Female        16          8
19781101 1978 Female        11          4
19780742 1978   Male        12          5
20061853 2006 Female        12          4
20121145 2012 Female        13          5
19901099 1990   Male        15          7
20162291 2016   Male        10          7
19891325 1989   Male        10          8
19941389 1994   Male        16          6
20121577 2012   Male        12          1
19761080 1976 Female        12          8
19780318 1978 Female        12          6
20061028 2006   Male         7          6
19872008 1987 Female        12          6
20041689 2004   Male        16          5
19840720 1984 Female         4          2
19900671 1990   Male        12          8
19941453 1994   Male        12          4
20140812 2014 Female        16          5
19760249 1976   Male        12          2
19872016 1987 Female        12          0
19840988 1984   Male        11          5
19900285 1990   Male        16         10
20061837 2006 Female        14          7
20101434 2010   Male        11          5
20001840 2000 Female        13          3
20001696 2000 Female        14          6
19820465 1982   Male        11          5
20080578 2008   Male        11          4
20040986 2004   Male        18          8
20140273 2014 Female        16          5
19740222 1974   Male        18          9
19962527 1996 Female        12          5
19890956 1989 Female        15          8
20162747 2016   Male        12          5
20061742 2006 Female        12          5
19870102 1987 Female         8          6
19841400 1984   Male        14          5
20001801 2000 Female        14          6
19940405 1994 Female        16          5
19891498 1989   Male        12          5
19760174 1976 Female         7          0
20120899 2012 Female        12          6
20080508 2008   Male        16          9
19940184 1994 Female        16          8
19740959 1974 Female        12          5
19941617 1994 Female        16         10
19891241 1989 Female        16          8
19941013 1994   Male        14          5
19900910 1990   Male        12          3
19740620 1974 Female        12          7
19942194 1994 Female         8          6
19820323 1982 Female        12          4
19823098 1982   Male        12          3
20142311 2014 Female        12          4
20141909 2014   Male        14          7
20061493 2006 Female        15          8
19761069 1976 Female        17          9
20162684 2016 Female        12          4
19962684 1996 Female        16          8
19911290 1991 Female        12          1
19740049 1974 Female         8          3
19911222 1991 Female        12          5
19941112 1994 Female        11          1
20001194 2000   Male        12          6
20002786 2000 Female        12          5
20063489 2006 Female        13          5
19781199 1978 Female        12          6
19820406 1982 Female        16          7
20061422 2006 Female        10          4
19930063 1993 Female        12          6
19981563 1998   Male        15          6
19780157 1978   Male        19          8
20100138 2010 Female        12          7
19880907 1988   Male        13          4
19822015 1982   Male         9          4
20002747 2000   Male        15          6
19820482 1982 Female        12          5
19760740 1976 Female         9          3
19741138 1974 Female        16          9
20100571 2010   Male        13          5
20160859 2016   Male        18          6
20120001 2012   Male        16          7
19761490 1976 Female        12          5
19940865 1994 Female        13          4
20060857 2006 Female        14          6
19980005 1998 Female        16          7
19942346 1994 Female        16          8
20121329 2012   Male        12          6
20160175 2016 Female        14          4
19870668 1987 Female        14          5
19780728 1978   Male         8          5
19820733 1982 Female        12          6
20120014 2012 Female        12          4
19780761 1978   Male        13          9
19871271 1987   Male        10          4
19820445 1982 Female        12          8
19760696 1976   Male         8          5
19840891 1984 Female        11          3
20041160 2004 Female        16          8
19982472 1998 Female        15          6
19761051 1976   Male        13          6
19820680 1982 Female        10          6
19781392 1978 Female        12          6
19900541 1990   Male        13          5
19840674 1984 Female        12          6
19960886 1996   Male        16          8
19961881 1996 Female        12          6
19761739 1976 Female         3          3
19820266 1982   Male        17          7
20121803 2012 Female        17          7
20101098 2010 Female        12          6
20121159 2012 Female        14          6
19780475 1978   Male        12          5
19741058 1974 Female         8          1
19961974 1996 Female        12          9
19872307 1987 Female         5          3
19960678 1996   Male        16          9
19890357 1989 Female        16          8
19781319 1978 Female         8          4
19961130 1996 Female        14          6
19880890 1988 Female        11          6
19780632 1978   Male        12          6
19841405 1984   Male         6          1
19890302 1989 Female        13          7
20081879 2008   Male        12          6
20063405 2006 Female        15          9
20140661 2014 Female        16          6
20100223 2010   Male        17         10
19781484 1978 Female         7          6
19962192 1996   Male        20          7
20081508 2008 Female        14          9
19981616 1998   Male        15          6
19931215 1993   Male        12          6
19870017 1987 Female        12          7
20161367 2016 Female        10          7
19880622 1988 Female        12          5
19840458 1984 Female        13          7
20101830 2010   Male        14          5
20001589 2000   Male        16         10
19942195 1994   Male        12          7
19960691 1996   Male        17         10
19841152 1984 Female        12          8
19740216 1974   Male        12          4
20141027 2014 Female        14          4
20041239 2004 Female         2          7
19870640 1987 Female        12          4
20042682 2004   Male        15          5
20101540 2010 Female        11          8
19891514 1989   Male        18          9
20041252 2004 Female        16          8
19840915 1984   Male        12          6
19982559 1998 Female        16          4
20142190 2014   Male        14          7
19891394 1989 Female         9          2
19930933 1993   Male        16         10
20080877 2008 Female        13          7
19940739 1994 Female        12          8
19760011 1976 Female        12          9
19780930 1978   Male        16          7
19820337 1982   Male        14          4
19761457 1976   Male        16          7
19901044 1990   Male        16          8
19760425 1976 Female        12          7
19960867 1996   Male        20          7
19880979 1988   Male        12          6
19942880 1994 Female        13          5
20121354 2012 Female        20         10
19900277 1990   Male        16          7
20141488 2014   Male        12          6
19900181 1990   Male        17          7
20140663 2014 Female        12          4
20001719 2000   Male        16          6
20120875 2012 Female        12          5
19841331 1984 Female        16          5
19901144 1990   Male        13          4
19740421 1974   Male         5          2
19780320 1978   Male        11          7
19941050 1994   Male        16          6
19891089 1989 Female        14          8
20080521 2008 Female        20          9
19740234 1974 Female         6          4
20100030 2010 Female        16          9
20160915 2016 Female        20          5
19900204 1990   Male        12          6
20141078 2014   Male        14          6
19931431 1993 Female        12          6
19960399 1996 Female        14          7
20140313 2014 Female        12          4
20101168 2010 Female        16          6
19870037 1987 Female        17          9
20161993 2016   Male        14          2
19930163 1993 Female        16          7
19840234 1984 Female        14          5
20002031 2000   Male        16         10
20141408 2014   Male        12          5
19870020 1987 Female        15          6
19931109 1993 Female        12          5
19880229 1988   Male        16          8
19820425 1982   Male        10         10
20040900 2004 Female        16          5
19942243 1994 Female        16          7
19840749 1984   Male        15          3
19760439 1976   Male        17          9
20001381 2000 Female        12          5
20080506 2008 Female        12          4
19780470 1978 Female         8          5
20002386 2000 Female        12          5
19740641 1974 Female        12          5
19890607 1989 Female        12          6
20041902 2004 Female        18          8
19872212 1987   Male        14          4
19930118 1993 Female        18          9
20081468 2008 Female        14          8
19880719 1988 Female        11          6
19781327 1978   Male        12          5
19871291 1987   Male        11          7
19820362 1982 Female         9          1
20100126 2010   Male        14          7
20000682 2000   Male        12          3
19781170 1978 Female         7          7
19880437 1988 Female        11          1
20081745 2008   Male        12          5
20081297 2008 Female        18          7
19781482 1978   Male         8          5
19910447 1991 Female        18          9
19930024 1993   Male        16          6
20101996 2010 Female        12          3
19910163 1991 Female        13          9
20002231 2000 Female        13          8
20040985 2004 Female        14         10
19740365 1974   Male         8          6
19741120 1974   Male        13         10
19761493 1976   Male        12          6
19900780 1990   Male         9          2
20120683 2012   Male         6          3
19930009 1993   Male        18         10
20060619 2006 Female        19          8
20040656 2004 Female        12          6
19820480 1982 Female        12          3
20101354 2010 Female        14          6
19761442 1976   Male        12          5
19820371 1982 Female        13          5
20100509 2010 Female         9          2
19981217 1998   Male        12          7
19823173 1982 Female        11          3
20001144 2000 Female        14          8
20161302 2016 Female        19          7
20101879 2010 Female        12          3
20141437 2014 Female        10          5
19930890 1993 Female        12          6
19760692 1976   Male        12          5
20101560 2010   Male        16          7
19821460 1982   Male         5          4
19942488 1994   Male        12          9
19780168 1978 Female         9          6
20162339 2016   Male        10          3
20160881 2016   Male        17          5
20002558 2000 Female        12          5
19761711 1976   Male        12          7
19980130 1998   Male        12          5
19740615 1974 Female        12          6
19982530 1998 Female        12          5
20142148 2014 Female        14          6
20100197 2010   Male        20          7
20100207 2010   Male        14          6
19900252 1990   Male        12          4
20162584 2016 Female        10          6
19901094 1990   Male        17          7
19841291 1984   Male        12          7
19910337 1991   Male        14          9
19940695 1994   Male        17          8
20100848 2010   Male        17          9
20041812 2004 Female        12          7
20141946 2014   Male        12          8
19780007 1978   Male        12          4
20081729 2008   Male        15          6
20160996 2016 Female        17          2
20100511 2010   Male        16          7
19961108 1996   Male        16         10
20161310 2016   Male         9          4
20141080 2014 Female        15          7
19870743 1987   Male        12          6
20042237 2004 Female        11          5
19760627 1976 Female         7          4
20120608 2012 Female        14          4
19780996 1978 Female        13          5
19960484 1996   Male        13          4
19962472 1996   Male        15          7
19780982 1978 Female        16          9
19941308 1994   Male        14          8
19890822 1989 Female        10          6
19740098 1974   Male         3          4
19741421 1974   Male         8          4
20101827 2010 Female        10          8
20081243 2008   Male        16          6
19910029 1991   Male        19         10
20121540 2012 Female        11          6
19931427 1993 Female        13          7
19931319 1993 Female        12          2
20000133 2000   Male        19         10
20162355 2016   Male        16          7
19761614 1976 Female        12          4
20100947 2010 Female        14          9
20162300 2016   Male        17          7
19960447 1996 Female        14          9
20100431 2010 Female        16          9
19890018 1989 Female         6          4
20141953 2014   Male        16          9
20101275 2010 Female        16          7
20060333 2006 Female        12          6
19840382 1984   Male        12          5
20061780 2006   Male        17          9
20101498 2010 Female        12          5
19741291 1974   Male        14          7
19821478 1982 Female        12          7
20161748 2016   Male        12          6
19982613 1998 Female        10          3
20101260 2010   Male        12          8
20080703 2008   Male        20          8
19890553 1989   Male        16          6
19761486 1976   Male        16          9
19961288 1996   Male        20         10
19982749 1998   Male        16          7
20081138 2008 Female        15          4
19930416 1993 Female        14          6
20142306 2014 Female        11          7
20042758 2004   Male        15          8
19780994 1978 Female        12          4
19840118 1984 Female        14          6
20100362 2010 Female        10          6
19930857 1993   Male        16          8
20121232 2012 Female        12          5
20121266 2012   Male        16          5
20081007 2008 Female        18          8
19960935 1996 Female        14          5
19980289 1998   Male        12          5
20064005 2006   Male        12          3
19911221 1991   Male        12          6
19901351 1990 Female        11          6
19960868 1996 Female        17          9
19781532 1978 Female        12          5
20080389 2008   Male        12          3
19940645 1994 Female        13          5
19781203 1978 Female         8          4
20161944 2016   Male        10          2
19780311 1978   Male        12          3
19740139 1974 Female        12          5
19840829 1984 Female        12          5
20101624 2010 Female        14          5
19761071 1976   Male        14          6
19781143 1978 Female         8          5
19741402 1974 Female        12          8
19741001 1974   Male         8          5
20121210 2012   Male        14          6
20081990 2008 Female        16          8
19820824 1982 Female        12          5
19940616 1994 Female        16          4
19871434 1987   Male        10          4
19870430 1987   Male        12          1
19780834 1978   Male        10          2
19910736 1991 Female        12          5
20002395 2000   Male        18          8
19880801 1988 Female        14          4
20002738 2000   Male        12          5
20081991 2008 Female        16          7
20101754 2010 Female        12          4
20061328 2006 Female        12          7
19880170 1988 Female        14          8
19741240 1974   Male        10          6
20120143 2012   Male        16          9
19981682 1998 Female        15          8
19960350 1996   Male        14          6
20061283 2006 Female        12          7
19761655 1976 Female        12          8
20042578 2004 Female        16          5
20101433 2010 Female        14          4
19740225 1974 Female        12          8
20140035 2014   Male        12          3
19901058 1990 Female        12          5
20063301 2006   Male        10          5
20141863 2014 Female        16          4
19880700 1988   Male        13          5
20063121 2006 Female        18         10
19761435 1976 Female        10          4
19741285 1974   Male         9          7
19941475 1994   Male        12          5
19741419 1974 Female        12          5
19761430 1976 Female        12          5
20001874 2000 Female        16          7
19741027 1974   Male         9          4
19910790 1991 Female        10          5
20060622 2006 Female        16          9
20081522 2008 Female        16          8
19891459 1989 Female         9          1
19980201 1998 Female        14          6
19881239 1988   Male        10          5
19942267 1994 Female        18          8
19841457 1984 Female        15          7
19961138 1996 Female        13          5
20120700 2012   Male        14          6
19960840 1996 Female        14          7
19760182 1976 Female        15          9
19780053 1978 Female         8          9
19880453 1988   Male        15          9
20142461 2014 Female        11          5
20040568 2004   Male        20         10
19761118 1976 Female        12          8
19980097 1998 Female        17         10
19940484 1994   Male        12          6
19870256 1987   Male        16          7
19870990 1987   Male        14          1
19931244 1993   Male        16          6
20141295 2014 Female         1          7
19910429 1991   Male        14          9
20100074 2010   Male        14          5
20140847 2014 Female        16          7
19870784 1987 Female        12          7
19942649 1994   Male         8          5
19961502 1996 Female        18          8
19841340 1984   Male         2          3
20101501 2010 Female        16         10
20101673 2010 Female        12          7
20142292 2014   Male        11          3
19780037 1978   Male        15          6
19980380 1998   Male        19          8
20040030 2004   Male        16         10
19781428 1978 Female        12          5
20102024 2010 Female        12          5
19820328 1982 Female        12          3
20162053 2016 Female        12          5
20141854 2014 Female        16          8
19980892 1998 Female         9          4
19740561 1974   Male        10          7
20081322 2008   Male        11          6
20160228 2016   Male        16          5
20101051 2010 Female        20         10
19900559 1990 Female        14          7
20140003 2014   Male        13          7
19880262 1988 Female        16          6
20141613 2014   Male        16          9
19960651 1996   Male        18         10
19961389 1996   Male        18          7
20081098 2008 Female        12          8
19821404 1982 Female        11          9
19980357 1998   Male        13          9
19840378 1984 Female        14          6
19740738 1974 Female        11          4
20060198 2006 Female        18         10
19981572 1998   Male        16          5
19760223 1976   Male         7          4
20000902 2000 Female        16          9
20001966 2000   Male        12          7
20042302 2004   Male        18          7
19780698 1978 Female        12          8
19781498 1978 Female         7          7
19820758 1982 Female        12          4
19740259 1974 Female        11          4
19981274 1998   Male        12          7
19890982 1989   Male        18          7
19870498 1987 Female        16         10
19820611 1982 Female        12          7
19822062 1982 Female         8          6
19840291 1984 Female         9          1
19841244 1984 Female         8          6
19820541 1982 Female        14          7
20121310 2012   Male        12          5
20161194 2016   Male        12          6
19761297 1976   Male        12          6
19891206 1989 Female        13          5
19942726 1994 Female        16          6
20062930 2006 Female        12          6
19880034 1988 Female        14          3
20081711 2008   Male        12          4
20160150 2016   Male        16          9
19840029 1984 Female         8          4
19911013 1991 Female        14          5
19891242 1989   Male        12          5
20141264 2014 Female        12          8
19981723 1998 Female        12          9
20080103 2008 Female        19          5
20121166 2012   Male        12          5
19760243 1976   Male         2          3
19931300 1993   Male        13          6
20002284 2000   Male        12          6
19741310 1974   Male         6          5
20060131 2006   Male        13          9
19961900 1996   Male        17          8
19941191 1994 Female        17         10
19930171 1993   Male        12          6
19740745 1974   Male        12          8
20141084 2014   Male        12          6
20142208 2014 Female        18          7
19981261 1998 Female        12          5
19910458 1991 Female        12          6
19870154 1987 Female         9          3
19761160 1976 Female        12          5
19880488 1988   Male        15          5
20120025 2012   Male        12          7
19871378 1987 Female        15          5
19900775 1990   Male        12          6
19961096 1996 Female        12          2
19962134 1996 Female        13          6
19960921 1996   Male        20          8
19840166 1984 Female        12          5
20080768 2008   Male        16          9
19741076 1974   Male         8          5
19980699 1998   Male        12          6
19910825 1991 Female         8          2
19890251 1989   Male        13          6
20061659 2006   Male        18          9
19820630 1982 Female        11          5
19940387 1994 Female        16          7
20041745 2004 Female        17          7
19941206 1994   Male        12          6
19931159 1993   Male        12          4
19961703 1996 Female        13          6
19961018 1996   Male         6          5
20161150 2016 Female        12          8
20100827 2010   Male        18         10
19900501 1990   Male         0         10
20140970 2014   Male        16         10
19891307 1989   Male        20          8
19820530 1982 Female        14          8
19840569 1984 Female        16          8
20140519 2014 Female        12          9
19761245 1976 Female        16          6
20161396 2016 Female        15          4
19760728 1976 Female        10          6
19962449 1996   Male        12          6
19840094 1984   Male        15          8
19961692 1996 Female        10          6
19840485 1984 Female        12          7
19900247 1990 Female        12          6
19881295 1988 Female        12          6
20121063 2012   Male        18         10
19780326 1978 Female        12          6
19841270 1984 Female        12          5
19821024 1982 Female        16         10
20042200 2004   Male        10          3
20121675 2012   Male        12          5
19940445 1994 Female        14          6
19981856 1998   Male        18          9
19820692 1982   Male        12          3
19962351 1996   Male        17          9
20101737 2010   Male        16          6
19940213 1994   Male        12          5
19740534 1974 Female        14          8
20161290 2016 Female        13          5
19871138 1987 Female        12          7
19870451 1987 Female        12          7
19760331 1976 Female        12          7
19890150 1989 Female        13          8
19961188 1996   Male        12          5
19942258 1994   Male        19          9
19962392 1996 Female        15          8
19940018 1994 Female        16          8
19780907 1978 Female        12          5
20141110 2014   Male        12          2
20041978 2004 Female        18         10
20161267 2016 Female        16          6
19781472 1978 Female        11          6
19840419 1984   Male        11          5
20042139 2004   Male        12          6
19741482 1974 Female        12          6
19961931 1996 Female        19          8
19820013 1982 Female         9          4
20060506 2006   Male        14          5
20142424 2014   Male        11          4
19820635 1982   Male        14          7
19980188 1998 Female        16          8
19942371 1994   Male         7          4
20080580 2008   Male        15          5
19880050 1988   Male        12          6
19961402 1996   Male        13          6
19760612 1976 Female        12          6
19960888 1996 Female        16          7
20160460 2016   Male        12          8
19910808 1991   Male        10          4
20140958 2014   Male        16          8
20040189 2004   Male        12          6
19841361 1984   Male        20          8
20121320 2012   Male        16          8
19910196 1991 Female        18         10
20080479 2008   Male        16          7
20042645 2004 Female        14          7
19901157 1990 Female        12          6
19941301 1994 Female        12          3
19942551 1994   Male         8          5
20141471 2014   Male        12          6
19760689 1976   Male        11          4
20161616 2016 Female        12          4
20101041 2010 Female        20          8
20142155 2014 Female        17          6
20141077 2014 Female        17         10
19981252 1998 Female        12          6
19760440 1976 Female        12          8
19780807 1978   Male        15          6
19940290 1994   Male        11          4
20000040 2000 Female        13         10
19821092 1982   Male        12          6
19820736 1982   Male         9          3
19780424 1978 Female        12          7
19820121 1982 Female        14          8
20100398 2010 Female        14          8
20162745 2016 Female        15          7
20160997 2016 Female        17          7
20080859 2008 Female        10          6
20141639 2014 Female        11          7
19981108 1998 Female        14          5
20001754 2000 Female         8          5
20063024 2006   Male        14         10
19740999 1974 Female        16          6
20080607 2008   Male        12          5
20001500 2000 Female         8          5
19910657 1991 Female        15          7
19840926 1984 Female        13          4
19740237 1974   Male        13         10
19910183 1991 Female        16          5
20062559 2006   Male        16          9
19961950 1996   Male        16          5
20141888 2014   Male        16          7
20161265 2016 Female        14          5
19941661 1994   Male        13          6
20062497 2006 Female        16          6
19761364 1976 Female         8          9
19841280 1984   Male         9          6
19890169 1989 Female        16          6
19841076 1984   Male        14          4
19820654 1982   Male         8          3
19960942 1996 Female        16          9
20161275 2016   Male        13          4
20080080 2008 Female        15          6
20042338 2004   Male        14          7
19881219 1988   Male        15          7
20064368 2006 Female        12          6
20160713 2016 Female        16          8
19961819 1996 Female        11          1
19820093 1982   Male        10          4
20162530 2016 Female        12          6
19840386 1984   Male        14          8
20062943 2006   Male        16         10
19900049 1990 Female        12          3
20120600 2012 Female        18          6
19780608 1978 Female         9          0
20141979 2014 Female         9          1
20042583 2004   Male         7          4
19871455 1987 Female        11          5
19740576 1974 Female        14          4
20001136 2000 Female         8          5
19910957 1991 Female        16          8
20160895 2016   Male        16          8
19760702 1976 Female         8          6
19930101 1993 Female        11          4
20162112 2016 Female        14          5
20002221 2000 Female        16          6
19871264 1987   Male         9          7
19961444 1996 Female        12          8
20100873 2010 Female        12          6
19911304 1991 Female        12          6
19880740 1988 Female         7          0
19960650 1996 Female        16          5
19901283 1990   Male        12          8
20081170 2008   Male         7          1
19820011 1982 Female        13          6
19982519 1998   Male        12          4
19740030 1974 Female        13          7
19872313 1987 Female         6          4
20140296 2014 Female        16          8
19740364 1974   Male        11          1
19761099 1976 Female        12          6
19823226 1982 Female        14          8
20142246 2014   Male        16          7
20161572 2016 Female        16          8
19980600 1998 Female        14          6
19740173 1974 Female        12          7
19870680 1987   Male        20         10
20141872 2014   Male        13          5
20160706 2016 Female        19          7
19760525 1976   Male        11          7
20080056 2008   Male        17          5
19780635 1978   Male         8          4
19900982 1990 Female        18         10
20121253 2012   Male        16          5
19960054 1996   Male        12          2
19740414 1974   Male        12          6
20141040 2014 Female        16          8
20060840 2006   Male        14          8
19761124 1976 Female        12          5
19890521 1989 Female        12          7
19931269 1993   Male        18          6
20000707 2000   Male        14          5
20062322 2006   Male        16          8
20064492 2006 Female        16          9
19761086 1976   Male        11          7
20160891 2016   Male        12          6
19741071 1974   Male        12          8
19840791 1984 Female         7          3
20120566 2012   Male         6          6
20161498 2016 Female         6          3
19840398 1984   Male         9          5
20160785 2016 Female        12          5
19781421 1978 Female        12          8
19981831 1998 Female        19          8
19931482 1993   Male        16          4
20001712 2000   Male        16          8
19870793 1987   Male        10          2
20141497 2014 Female        18          9
20160989 2016   Male        12          5
19941704 1994 Female        12          6
19761060 1976 Female        12          6
20000826 2000 Female        12          0
19820848 1982   Male        12          6
19941883 1994 Female         8          6
20063666 2006   Male        12          7
19872047 1987 Female        12          4
20161003 2016 Female        12          5
20061029 2006   Male        13          4
19841423 1984   Male        12          4
20000828 2000 Female        13          8
20142061 2014 Female        18          9
19942890 1994 Female        18          8
20121334 2012   Male        12          4
19823014 1982   Male         9          4
19840471 1984   Male        12          7
19931400 1993 Female        12          6
19930367 1993 Female        12          3
20061937 2006   Male         6          3
19740018 1974   Male         0          1
20042204 2004   Male        16          6
20080980 2008   Male        20          8
19872087 1987 Female        12          4
20040016 2004   Male        11          5
19841126 1984   Male        12          7
19871382 1987   Male        12          6
20001836 2000   Male        10          3
20160045 2016   Male        17          7
20100035 2010   Male        15          7
19942079 1994 Female        10          6
19942712 1994 Female        11          6
20081692 2008 Female        14          5
19891006 1989   Male        12          7
20161217 2016 Female        12          7
19821060 1982   Male        12          3
20100203 2010 Female         2          8
19880692 1988   Male        14          5
20061148 2006 Female        18          8
19760543 1976   Male        15          7
